id;client_id;card_brand;card_type;card_number;expires;cvv;has_chip;num_cards_issued;credit_limit;acct_open_date;year_pin_last_changed;;
4524;825;Visa;Debit;4344676511950440;Thg12-22;623;YES;2;$24295;Thg9-02;2008;;
2731;825;Visa;Debit;4956965974959980;Thg12-20;393;YES;2;$21968;Thg4-14;2014;;
3701;825;Visa;Debit;4582313478255490;Thg2-24;719;YES;2;$46414;Thg7-03;2004;;
42;825;Visa;Credit;4879494103069050;Thg8-24;693;NO;1;$12400;Thg1-03;2012;;
4659;825;Mastercard;Debit (Prepaid);5722874738736010;Thg3-09;75;YES;1;$28;Thg9-08;2009;;
4537;1746;Visa;Credit;4404898874682990;Thg9-03;736;YES;1;$27500;Thg9-03;2012;;
1278;1746;Visa;Debit;4001482973848630;Thg7-22;972;YES;2;$28508;Thg2-11;2011;;
3687;1746;Mastercard;Debit;5627220683410940;Thg6-22;48;YES;2;$9022;Thg7-03;2015;;
3465;1746;Mastercard;Debit (Prepaid);5711382187309320;Thg11-20;722;YES;2;$54;Thg6-10;2015;;
3754;1746;Mastercard;Debit (Prepaid);5766121508358700;Thg2-23;908;YES;1;$99;Thg7-06;2012;;
5144;1718;Mastercard;Debit;5495199163052050;Thg3-22;677;YES;2;$31599;Thg10-09;2009;;
2029;1718;Mastercard;Debit;5804499644308590;Thg7-23;258;NO;2;$27480;Thg3-02;2008;;
2379;1718;Mastercard;Debit;5766352389579830;Thg2-20;992;YES;1;$26743;Thg3-19;2019;;
2732;1718;Visa;Debit;4242015583697290;Thg6-20;928;YES;1;$31463;Thg4-14;2014;;
4706;1718;Mastercard;Debit;5191030913182490;Thg6-24;360;YES;1;$16055;Thg9-09;2009;;
281;708;Visa;Credit;4017261190134810;Thg5-15;877;YES;2;$98100;Thg1-11;2011;;
1106;708;Mastercard;Debit (Prepaid);5581970288727990;Thg6-20;448;YES;1;$62;Thg2-07;2007;;
5621;708;Visa;Debit;4032240655674500;Thg6-22;53;YES;1;$132439;Thg11-10;2011;;
5165;708;Visa;Debit;4935974646456350;Thg6-20;649;YES;1;$125723;Thg10-09;2010;;
5757;1164;Mastercard;Debit;5905027855347650;Thg1-22;886;YES;1;$34900;Thg12-99;2012;;
27;68;Visa;Credit;4099623033306950;Thg9-21;74;YES;2;$9900;Thg1-02;2019;;
4648;68;Visa;Debit;4281200324251210;Thg7-13;865;YES;2;$21587;Thg9-07;2007;;
5435;68;Visa;Credit;4411456925570760;Thg11-22;922;YES;2;$15800;Thg11-05;2011;;
3287;1075;Mastercard;Debit;5202477865497330;Thg4-22;861;YES;1;$29964;Thg6-05;2014;;
4761;1075;Mastercard;Credit;5089768442116300;Thg7-23;686;YES;2;$11200;Thg9-10;2010;;
5286;1075;Mastercard;Debit;5767339719294370;Thg12-21;669;NO;2;$26753;Thg10-14;2014;;
